{'cordi': [{0: 'JP-354', 1: 'BL-196', 2: 'SK-009', 3: 'SE-148'}, {0: 'JP-354', 1: 'BL-113', 2: 'SK-009', 3: 'SE-150'}, {0: 'JP-354', 1: 'BL-113', 2: 'SK-009', 3: 'SE-150'}]}
{'cordi': [{0: 'JK-013', 1: 'BL-130', 2: 'PT-265', 3: 'SE-154'}, {0: 'JK-013', 1: 'BL-130', 2: 'PT-279', 3: 'SE-154'}, {0: 'JK-328', 1: 'BL-130', 2: 'PT-267', 3: 'SE-148'}]}
{'cordi': [{1: 'SW-263', 2: 'SK-218', 3: 'SE-080', 0: 'NONE-OUTER'}, {1: 'SW-042', 2: 'SK-218', 3: 'SE-080', 0: 'NONE-OUTER'}, {1: 'SW-127', 2: 'SK-218', 3: 'SE-080', 0: 'NONE-OUTER'}]}
{'cordi': [{1: 'BL-119', 2: 'SK-282', 3: 'SE-141', 0: 'NONE-OUTER'}, {1: 'BL-090', 2: 'SK-282', 3: 'SE-141', 0: 'NONE-OUTER'}, {1: 'BL-090', 2: 'SK-009', 3: 'SE-141', 0: 'NONE-OUTER'}]}
{'cordi': [{1: 'SH-186', 2: 'PT-265', 3: 'SE-154', 0: 'JK-110'}, {1: 'SH-186', 2: 'PT-265', 3: 'SE-154', 0: 'JK-004'}, {1: 'SH-186', 2: 'PT-060', 3: 'SE-023', 0: 'NONE-OUTER'}]}
{'cordi': [{0: 'JK-013', 1: 'SH-066', 2: 'PT-208', 3: 'SE-009'}, {0: 'JK-013', 1: 'SH-066', 2: 'PT-550', 3: 'SE-009'}, {0: 'JK-013', 1: 'SH-066', 2: 'PT-010', 3: 'SE-009'}]}
{'cordi': [{0: 'CT-202', 1: 'SW-113', 2: 'PT-415', 3: 'SE-118'}, {0: 'CT-202', 1: 'BL-240', 2: 'PT-415', 3: 'SE-118'}, {0: 'CT-202', 1: 'BL-240', 2: 'PT-415', 3: 'SE-118'}]}
{'cordi': [{0: 'JP-362', 1: 'SW-002', 2: 'PT-550', 3: 'SE-154'}, {0: 'JP-362', 1: 'SW-002', 2: 'PT-010', 3: 'SE-110'}, {0: 'JP-290', 1: 'SW-206', 2: 'SK-272', 3: 'SE-110'}]}
{'cordi': [{1: 'KN-154', 2: 'SK-133', 3: 'SE-092', 0: 'NONE-OUTER'}, {1: 'KN-154', 2: 'SK-355', 3: 'SE-092', 0: 'NONE-OUTER'}, {1: 'KN-154', 2: 'SK-351', 3: 'SE-092', 0: 'NONE-OUTER'}]}
{'cordi': [{0: 'CD-040', 1: 'KN-492', 2: 'PT-544', 3: 'SE-039'}, {0: 'CD-040', 1: 'KN-499', 2: 'PT-544', 3: 'SE-287'}, {0: 'CD-084', 1: 'KN-499', 2: 'PT-544', 3: 'SE-287'}]}
{'cordi': [{0: 'CT-017', 1: 'BL-240', 2: 'PT-268', 3: 'SE-273'}, {0: 'JK-319', 1: 'BL-240', 2: 'PT-268', 3: 'SE-156'}, {0: 'JK-319', 1: 'BL-240', 2: 'PT-268', 3: 'SE-156'}]}
{'cordi': [{0: 'CT-178', 1: 'BL-210', 2: 'SK-254', 3: 'SE-146'}, {0: 'CT-178', 1: 'BL-282', 2: 'SK-254', 3: 'SE-146'}, {0: 'CT-178', 1: 'BL-282', 2: 'SK-254', 3: 'SE-146'}]}
{'cordi': [{0: 'JK-110', 1: 'SH-036', 2: 'PT-203', 3: 'SE-016'}, {0: 'JP-368', 1: 'SH-036', 2: 'PT-203', 3: 'SE-016'}, {0: 'JP-368', 1: 'SH-036', 2: 'PT-203', 3: 'SE-016'}]}
{'cordi': [{0: 'JK-416', 2: 'OP-149', 3: 'SE-150', 1: 'NONE-TOP'}, {0: 'JK-416', 2: 'OP-175', 3: 'SE-118', 1: 'NONE-TOP'}, {0: 'JK-416', 2: 'OP-175', 3: 'SE-118', 1: 'NONE-TOP'}]}
{'cordi': [{0: 'JK-420', 1: 'SH-220', 2: 'PT-550', 3: 'SE-250'}, {0: 'JK-420', 1: 'SH-220', 2: 'PT-550', 3: 'SE-311'}, {0: 'JK-420', 1: 'SH-220', 2: 'PT-546', 3: 'SE-311'}]}
{'cordi': [{0: 'CD-328', 1: 'SH-077', 2: 'SK-276', 3: 'SE-229'}, {0: 'CD-328', 1: 'KN-500', 2: 'SK-276', 3: 'SE-273'}, {0: 'CD-328', 1: 'KN-500', 2: 'SK-276', 3: 'SE-273'}]}
{'cordi': [{0: 'CD-083', 1: 'BL-197', 2: 'SK-252', 3: 'SE-223'}, {0: 'CD-083', 1: 'BL-122', 2: 'SK-252', 3: 'SE-223'}, {0: 'CD-083', 1: 'BL-122', 2: 'SK-252', 3: 'SE-223'}]}
{'cordi': [{0: 'CD-040', 2: 'OP-238', 3: 'SE-148', 1: 'NONE-TOP'}, {0: 'CD-040', 2: 'OP-196', 3: 'SE-148', 1: 'NONE-TOP'}, {0: 'CD-040', 2: 'OP-061', 3: 'SE-148', 1: 'NONE-TOP'}]}
{'cordi': [{0: 'CT-414', 1: 'SH-221', 2: 'PT-060', 3: 'SE-272'}, {0: 'CT-414', 1: 'SH-218', 2: 'PT-060', 3: 'SE-021'}, {0: 'CT-410', 1: 'SH-218', 2: 'PT-060', 3: 'SE-041'}]}
{'cordi': [{0: 'JK-242', 1: 'BL-282', 2: 'PT-265', 3: 'SE-272'}, {0: 'JK-515', 1: 'BL-282', 2: 'PT-060', 3: 'SE-272'}, {0: 'JK-515', 1: 'BL-282', 2: 'PT-060', 3: 'SE-272'}]}
{'cordi': [{2: 'OP-180', 3: 'SE-142', 0: 'NONE-OUTER', 1: 'NONE-TOP'}, {2: 'OP-180', 3: 'SE-089', 0: 'NONE-OUTER', 1: 'NONE-TOP'}, {2: 'PT-292', 3: 'SE-089', 0: 'NONE-OUTER', 1: 'NONE-TOP'}]}
{'cordi': [{0: 'CT-017', 1: 'SH-219', 2: 'PT-553', 3: 'SE-273'}, {0: 'CT-017', 1: 'SH-219', 2: 'PT-553', 3: 'SE-278'}, {0: 'CT-017', 1: 'SH-219', 2: 'PT-561', 3: 'SE-150'}]}
{'cordi': [{0: 'JK-508', 1: 'BL-197', 2: 'PT-547', 3: 'SE-090'}, {0: 'JK-413', 1: 'BL-286', 2: 'PT-547', 3: 'SE-090'}, {0: 'JK-413', 1: 'BL-286', 2: 'SK-413', 3: 'SE-090'}]}
{'cordi': [{0: 'CT-123', 1: 'KN-009', 2: 'PT-547', 3: 'SE-208'}, {0: 'CT-123', 1: 'KN-009', 2: 'PT-547', 3: 'SE-083'}, {0: 'CT-123', 1: 'KN-009', 2: 'SK-413', 3: 'SE-083'}]}
{'cordi': [{0: 'CT-275', 1: 'BL-006', 2: 'SK-205', 3: 'SE-026'}, {0: 'CT-226', 1: 'BL-006', 2: 'SK-205', 3: 'SE-026'}, {0: 'CT-226', 1: 'BL-006', 2: 'PT-271', 3: 'SE-026'}]}
{'cordi': [{0: 'JK-121', 1: 'BL-024', 2: 'PT-545', 3: 'SE-017'}, {0: 'CT-162', 1: 'BL-024', 2: 'PT-545', 3: 'SE-017'}, {0: 'CT-162', 1: 'BL-024', 2: 'PT-545', 3: 'SE-117'}]}
{'cordi': [{0: 'CD-137', 1: 'KN-495', 2: 'PT-268', 3: 'SE-165'}, {0: 'CD-137', 1: 'KN-493', 2: 'PT-268', 3: 'SE-165'}, {0: 'CD-137', 1: 'KN-154', 2: 'PT-268', 3: 'SE-165'}]}
{'cordi': [{0: 'CT-003', 2: 'OP-234', 3: 'SE-165', 1: 'NONE-TOP'}, {0: 'CD-141', 2: 'OP-234', 3: 'SE-165', 1: 'NONE-TOP'}, {0: 'CD-141', 2: 'OP-246', 3: 'SE-165', 1: 'NONE-TOP'}]}
